"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"Bounce.benchmark ()","76,248 ms (50.3%)","76,722 ms (52.4%)","2,180,490 ms (16.6%)","2,175,607 ms (16.6%)","400,000"
"Bounce$Ball.bounce ()","63,859 ms (42.1%)","58,768 ms (40.1%)","63,864 ms (0.5%)","58,772 ms (0.4%)","2,000,000,000"
"Bounce.lambda$benchmark$0 (som.Random, int)","5,318 ms (3.5%)","5,286 ms (3.6%)","9,748 ms (0.1%)","9,332 ms (0.1%)","40,000,000"
"som.Random.next ()","4,430 ms (2.9%)","4,045 ms (2.8%)","4,430 ms (0%)","4,045 ms (0%)","160,000,000"
"java.util.Arrays.setAll (Object[], java.util.function.IntFunction)","1,510 ms (1%)","1,475 ms (1%)","11,270 ms (0.1%)","10,819 ms (0.1%)","400,000"
"Benchmark.innerBenchmarkLoop (int)","68.4 ms (0%)","68.5 ms (0%)","2,180,572 ms (16.6%)","2,175,689 ms (16.6%)","40"
"java.lang.Integer.valueOf (int)","15.4 ms (0%)","15.0 ms (0%)","15.4 ms (0%)","15.0 ms (0%)","400,002"
"Bounce.verifyResult (Object)","14.0 ms (0%)","13.3 ms (0%)","14.0 ms (0%)","13.3 ms (0%)","400,000"
"java.util.Objects.requireNonNull (Object)","11.4 ms (0%)","10.8 ms (0%)","11.4 ms (0%)","10.8 ms (0%)","401,226"
"Run.reportBenchmark ()","12.1 ms (0%)","8.24 ms (0%)","18.9 ms (0%)","14.3 ms (0%)","1"
"java.lang.Math.abs (int)","4.82 ms (0%)","4.14 ms (0%)","4.82 ms (0%)","4.14 ms (0%)","30,763"
"java.lang.String.charAt (int)","3.37 ms (0%)","3.15 ms (0%)","5.74 ms (0%)","5.21 ms (0%)","14,867"
"Run.printResult (long)","1.82 ms (0%)","1.83 ms (0%)","5.98 ms (0%)","5.91 ms (0%)","40"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","5.37 ms (0%)","1.48 ms (0%)","8.37 ms (0%)","3.81 ms (0%)","18"
"java.lang.String.isLatin1 ()","1.42 ms (0%)","1.19 ms (0%)","1.42 ms (0%)","1.19 ms (0%)","16,314"
"java.lang.StringLatin1.charAt (byte[], int)","1.13 ms (0%)","0.995 ms (0%)","1.13 ms (0%)","0.995 ms (0%)","14,867"
"java.lang.String.length ()","7.14 ms (0%)","0.927 ms (0%)","7.60 ms (0%)","1.37 ms (0%)","3,534"
"Run.getSuiteFromName (String)","1.20 ms (0%)","0.815 ms (0%)","2.39 ms (0%)","1.94 ms (0%)","1"
"java.io.FileOutputStream.write (byte[], int, int)","0.765 ms (0%)","0.749 ms (0%)","0.777 ms (0%)","0.763 ms (0%)","44"
"java.lang.String.coder ()","0.830 ms (0%)","0.597 ms (0%)","0.830 ms (0%)","0.597 ms (0%)","5,060"
"java.util.zip.Inflater.inflate (byte[], int, int)","0.594 ms (0%)","0.587 ms (0%)","0.743 ms (0%)","0.732 ms (0%)","54"
"Run.runBenchmark ()","1.41 ms (0%)","0.478 ms (0%)","2,180,602 ms (16.6%)","2,175,711 ms (16.6%)","1"
"java.util.concurrent.ConcurrentHashMap.get (Object)","0.469 ms (0%)","0.476 ms (0%)","0.715 ms (0%)","0.707 ms (0%)","396"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.439 ms (0%)","0.443 ms (0%)","0.655 ms (0%)","0.656 ms (0%)","33"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.466 ms (0%)","0.438 ms (0%)","1.85 ms (0%)","1.71 ms (0%)","19"
"java.lang.AbstractStringBuilder.append (String)","0.435 ms (0%)","0.429 ms (0%)","2.61 ms (0%)","2.35 ms (0%)","486"
"Harness.processArguments (String[])","0.723 ms (0%)","0.419 ms (0%)","35.5 ms (0%)","21.1 ms (0%)","1"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.474 ms (0%)","0.395 ms (0%)","12.8 ms (0%)","4.98 ms (0%)","18"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","0.374 ms (0%)","0.373 ms (0%)","0.969 ms (0%)","0.750 ms (0%)","486"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String, boolean)","0.468 ms (0%)","0.370 ms (0%)","46.3 ms (0%)","24.3 ms (0%)","47"
