"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","474 ms (21.2%)","464 ms (21.6%)","1,001 ms (5.1%)","961 ms (5.1%)","1,020,195"
"deltablue.EqualityConstraint.execute ()","259 ms (11.6%)","241 ms (11.3%)","259 ms (1.3%)","241 ms (1.3%)","6,240,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","154 ms (6.9%)","149 ms (7%)","518 ms (2.6%)","496 ms (2.6%)","360,011"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","105 ms (4.7%)","104 ms (4.9%)","719 ms (3.7%)","692 ms (3.7%)","360,014"
"deltablue.Planner.makePlan (som.Vector)","91.9 ms (4.1%)","86.9 ms (4.1%)","222 ms (1.1%)","209 ms (1.1%)","5"
"som.Vector.isEmpty ()","75.3 ms (3.4%)","71.0 ms (3.3%)","75.3 ms (0.4%)","71.0 ms (0.4%)","2,040,075"
"deltablue.Planner.removePropagateFrom (deltablue.Variable)","68.3 ms (3.1%)","67.8 ms (3.2%)","280 ms (1.4%)","273 ms (1.4%)","5"
"deltablue.BinaryConstraint.getOutput ()","70.4 ms (3.1%)","65.5 ms (3.1%)","70.4 ms (0.4%)","65.5 ms (0.3%)","1,860,018"
"som.Vector.removeFirst ()","62.2 ms (2.8%)","60.1 ms (2.8%)","93.1 ms (0.5%)","89.1 ms (0.5%)","840,027"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","62.8 ms (2.8%)","59.6 ms (2.8%)","154 ms (0.8%)","147 ms (0.8%)","660,020"
"som.Vector.append (Object)","59.1 ms (2.6%)","56.1 ms (2.6%)","60.3 ms (0.3%)","57.3 ms (0.3%)","1,500,056"
"deltablue.ScaleConstraint.execute ()","59.9 ms (2.7%)","53.0 ms (2.5%)","59.9 ms (0.3%)","53.0 ms (0.3%)","1,380,024"
"deltablue.BinaryConstraint.isSatisfied ()","49.8 ms (2.2%)","47.3 ms (2.2%)","49.8 ms (0.3%)","47.3 ms (0.3%)","1,320,014"
"deltablue.Planner.projectionTest (int)","46.9 ms (2.1%)","47.1 ms (2.2%)","913 ms (4.6%)","872 ms (4.6%)","1"
"deltablue.Strength.weakest (deltablue.Strength)","42.6 ms (1.9%)","41.0 ms (1.9%)","64.6 ms (0.3%)","61.2 ms (0.3%)","600,006"
"deltablue.BinaryConstraint.recalculate ()","34.3 ms (1.5%)","33.6 ms (1.6%)","77.9 ms (0.4%)","75.6 ms (0.4%)","300,000"
"deltablue.Planner.incrementalAdd (deltablue.AbstractConstraint)","32.0 ms (1.4%)","31.6 ms (1.5%)","758 ms (3.8%)","730 ms (3.9%)","180,009"
"deltablue.ScaleConstraint.recalculate ()","30.2 ms (1.4%)","30.2 ms (1.4%)","69.0 ms (0.4%)","65.3 ms (0.3%)","300,006"
"deltablue.Variable.addConstraint (deltablue.AbstractConstraint)","30.4 ms (1.4%)","29.9 ms (1.4%)","47.4 ms (0.2%)","46.1 ms (0.2%)","420,006"
"deltablue.BinaryConstraint.chooseMethod (int)","29.1 ms (1.3%)","28.3 ms (1.3%)","46.0 ms (0.2%)","44.5 ms (0.2%)","300,002"
"som.Vector.with (Object)","28.0 ms (1.3%)","27.7 ms (1.3%)","41.5 ms (0.2%)","40.5 ms (0.2%)","360,021"
"deltablue.Strength.weaker (deltablue.Strength)","26.5 ms (1.2%)","24.7 ms (1.2%)","26.5 ms (0.1%)","24.7 ms (0.1%)","720,006"
"som.Dictionary.at (som.Dictionary.CustomHash)","25.0 ms (1.1%)","24.3 ms (1.1%)","58.3 ms (0.3%)","55.9 ms (0.3%)","180,008"
"deltablue.Planner.constraintsConsuming (deltablue.Variable, som.ForEachInterface)","22.4 ms (1%)","21.9 ms (1%)","139 ms (0.7%)","136 ms (0.7%)","180,007"
"deltablue.AbstractConstraint.addConstraint (deltablue.Planner)","21.0 ms (0.9%)","20.4 ms (1%)","732 ms (3.7%)","704 ms (3.7%)","180,006"
"deltablue.AbstractConstraint.inputsKnown (int)","17.7 ms (0.8%)","15.6 ms (0.7%)","26.1 ms (0.1%)","23.3 ms (0.1%)","180,007"
"deltablue.Strength.of (deltablue.Strength.Sym)","15.2 ms (0.7%)","13.5 ms (0.6%)","73.5 ms (0.4%)","69.5 ms (0.4%)","180,008"
"som.Dictionary.getBucket (int)","13.3 ms (0.6%)","12.6 ms (0.6%)","19.9 ms (0.1%)","19.0 ms (0.1%)","180,008"
"deltablue.Planner.chainTest (int)","12.5 ms (0.6%)","12.6 ms (0.6%)","1,274 ms (6.5%)","1,225 ms (6.5%)","1"
"deltablue.Strength.stronger (deltablue.Strength)","13.1 ms (0.6%)","12.4 ms (0.6%)","13.1 ms (0.1%)","12.4 ms (0.1%)","360,011"
"Run.reportBenchmark ()","11.0 ms (0.5%)","10.9 ms (0.5%)","24.0 ms (0.1%)","23.4 ms (0.1%)","1"
"deltablue.BinaryConstraint.inputsDo (som.ForEachInterface)","11.1 ms (0.5%)","10.4 ms (0.5%)","11.1 ms (0.1%)","10.4 ms (0.1%)","240,000"
"deltablue.ScaleConstraint.addToGraph ()","10.5 ms (0.5%)","10.2 ms (0.5%)","38.1 ms (0.2%)","37.1 ms (0.2%)","60,000"
"deltablue.Variable.value (int)","13.0 ms (0.6%)","10.0 ms (0.5%)","17.4 ms (0.1%)","14.0 ms (0.1%)","120,002"
"java.util.Arrays.setAll (Object[], java.util.function.IntFunction)","7.69 ms (0.3%)","7.63 ms (0.4%)","21.5 ms (0.1%)","20.9 ms (0.1%)","1"
"java.lang.String.charAt (int)","7.83 ms (0.4%)","7.55 ms (0.4%)","12.8 ms (0.1%)","12.4 ms (0.1%)","27,890"
"deltablue.BinaryConstraint.inputsHasOne (som.TestInterface)","7.21 ms (0.3%)","6.89 ms (0.3%)","7.21 ms (0%)","6.89 ms (0%)","180,002"
"deltablue.BinaryConstraint.addToGraph ()","6.72 ms (0.3%)","6.60 ms (0.3%)","19.9 ms (0.1%)","19.3 ms (0.1%)","60,000"
"som.Dictionary.getBucketIdx (int)","6.58 ms (0.3%)","6.41 ms (0.3%)","6.58 ms (0%)","6.41 ms (0%)","180,032"
"deltablue.Planner.newMark ()","6.38 ms (0.3%)","6.34 ms (0.3%)","6.38 ms (0%)","6.34 ms (0%)","180,014"
"som.Dictionary.hash (som.Dictionary.CustomHash)","6.74 ms (0.3%)","6.28 ms (0.3%)","6.74 ms (0%)","6.28 ms (0%)","180,032"
"som.IdentityDictionary$IdEntry.match (int, Object)","6.54 ms (0.3%)","6.27 ms (0.3%)","6.54 ms (0%)","6.27 ms (0%)","180,008"
"deltablue.BinaryConstraint.markUnsatisfied ()","6.27 ms (0.3%)","6.8 ms (0.3%)","6.27 ms (0%)","6.8 ms (0%)","180,002"
"deltablue.UnaryConstraint.recalculate ()","5.13 ms (0.2%)","4.93 ms (0.2%)","7.26 ms (0%)","6.96 ms (0%)","60,009"
"som.Vector.at (int)","4.92 ms (0.2%)","4.49 ms (0.2%)","4.92 ms (0%)","4.49 ms (0%)","119,998"
"deltablue.UnaryConstraint.chooseMethod (int)","4.55 ms (0.2%)","4.46 ms (0.2%)","6.72 ms (0%)","6.54 ms (0%)","60,012"
"deltablue.UnaryConstraint.addToGraph ()","4.9 ms (0.2%)","4.2 ms (0.2%)","10.7 ms (0.1%)","10.4 ms (0.1%)","60,006"
"deltablue.Strength.absoluteWeakest ()","4.32 ms (0.2%)","3.94 ms (0.2%)","4.32 ms (0%)","3.94 ms (0%)","120,007"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","2.98 ms (0.1%)","2.93 ms (0.1%)","9.94 ms (0.1%)","9.37 ms (0%)","38"
"deltablue.ScaleConstraint.inputsDo (som.ForEachInterface)","2.71 ms (0.1%)","2.59 ms (0.1%)","2.71 ms (0%)","2.59 ms (0%)","60,002"
