"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","26,262 ms (23.9%)","26,936 ms (25.2%)","53,482 ms (5.5%)","52,235 ms (5.5%)","40,807,761"
"deltablue.EqualityConstraint.execute ()","13,203 ms (12%)","11,962 ms (11.2%)","13,203 ms (1.4%)","11,962 ms (1.3%)","249,600,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","8,568 ms (7.8%)","8,439 ms (7.9%)","28,657 ms (3%)","27,817 ms (3%)","14,400,440"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","5,113 ms (4.7%)","5,033 ms (4.7%)","38,943 ms (4%)","37,819 ms (4%)","14,400,560"
"som.Vector.isEmpty ()","4,189 ms (3.8%)","4,029 ms (3.8%)","4,189 ms (0.4%)","4,029 ms (0.4%)","81,603,000"
"deltablue.BinaryConstraint.getOutput ()","3,820 ms (3.5%)","3,651 ms (3.4%)","3,820 ms (0.4%)","3,651 ms (0.4%)","74,400,720"
"som.Vector.removeFirst ()","3,405 ms (3.1%)","3,315 ms (3.1%)","5,101 ms (0.5%)","4,950 ms (0.5%)","33,601,080"
"som.Vector.append (Object)","3,254 ms (3%)","3,145 ms (2.9%)","3,291 ms (0.3%)","3,182 ms (0.3%)","60,001,928"
"deltablue.Planner.makePlan (som.Vector)","2,991 ms (2.7%)","2,951 ms (2.8%)","9,635 ms (1%)","9,381 ms (1%)","200"
"deltablue.ScaleConstraint.execute ()","3,159 ms (2.9%)","2,822 ms (2.6%)","3,159 ms (0.3%)","2,822 ms (0.3%)","55,200,960"
"deltablue.BinaryConstraint.isSatisfied ()","2,727 ms (2.5%)","2,620 ms (2.5%)","2,727 ms (0.3%)","2,620 ms (0.3%)","52,800,560"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","2,759 ms (2.5%)","2,600 ms (2.4%)","7,623 ms (0.8%)","7,365 ms (0.8%)","26,400,800"
"deltablue.Strength.weakest (deltablue.Strength)","2,433 ms (2.2%)","2,334 ms (2.2%)","3,631 ms (0.4%)","3,496 ms (0.4%)","24,000,240"
"deltablue.BinaryConstraint.recalculate ()","2,254 ms (2.1%)","2,205 ms (2.1%)","4,613 ms (0.5%)","4,481 ms (0.5%)","12,000,000"
"deltablue.Variable.addConstraint (deltablue.AbstractConstraint)","1,719 ms (1.6%)","1,650 ms (1.5%)","2,678 ms (0.3%)","2,576 ms (0.3%)","16,800,240"
"deltablue.ScaleConstraint.recalculate ()","1,663 ms (1.5%)","1,628 ms (1.5%)","3,819 ms (0.4%)","3,699 ms (0.4%)","12,000,240"
