"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","36,262 ms (23.3%)","35,894 ms (23.8%)","76,667 ms (5.6%)","74,571 ms (5.6%)","81,615,521"
"deltablue.EqualityConstraint.execute ()","18,894 ms (12.1%)","17,741 ms (11.8%)","18,894 ms (1.4%)","17,741 ms (1.3%)","499,200,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","12,191 ms (7.8%)","12,126 ms (8%)","39,727 ms (2.9%)","38,454 ms (2.9%)","28,800,880"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","6,954 ms (4.5%)","6,778 ms (4.5%)","53,779 ms (3.9%)","52,068 ms (3.9%)","28,801,120"
"deltablue.ScaleConstraint.execute ()","6,350 ms (4.1%)","6,223 ms (4.1%)","6,350 ms (0.5%)","6,223 ms (0.5%)","110,401,920"
"som.Vector.isEmpty ()","5,864 ms (3.8%)","5,588 ms (3.7%)","5,864 ms (0.4%)","5,588 ms (0.4%)","163,206,000"
"deltablue.BinaryConstraint.getOutput ()","5,298 ms (3.4%)","5,048 ms (3.3%)","5,298 ms (0.4%)","5,048 ms (0.4%)","148,801,440"
"som.Vector.removeFirst ()","4,951 ms (3.2%)","4,736 ms (3.1%)","7,315 ms (0.5%)","6,989 ms (0.5%)","67,202,160"
"som.Vector.append (Object)","4,676 ms (3%)","4,497 ms (3%)","4,755 ms (0.3%)","4,555 ms (0.3%)","120,003,848"
"deltablue.Planner.makePlan (som.Vector)","4,144 ms (2.7%)","4,092 ms (2.7%)","13,868 ms (1%)","13,412 ms (1%)","400"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","4,125 ms (2.7%)","4,065 ms (2.7%)","11,259 ms (0.8%)","10,905 ms (0.8%)","52,801,600"
"deltablue.BinaryConstraint.isSatisfied ()","3,911 ms (2.5%)","3,743 ms (2.5%)","3,911 ms (0.3%)","3,743 ms (0.3%)","105,601,120"
"deltablue.Strength.weakest (deltablue.Strength)","3,268 ms (2.1%)","3,267 ms (2.2%)","5,007 ms (0.4%)","4,826 ms (0.4%)","48,000,480"
"deltablue.BinaryConstraint.recalculate ()","2,517 ms (1.6%)","2,414 ms (1.6%)","5,705 ms (0.4%)","5,476 ms (0.4%)","24,000,000"
"deltablue.ScaleConstraint.recalculate ()","2,443 ms (1.6%)","2,391 ms (1.6%)","5,492 ms (0.4%)","5,332 ms (0.4%)","24,000,480"
"deltablue.Planner.removePropagateFrom (deltablue.Variable)","2,271 ms (1.5%)","2,222 ms (1.5%)","16,773 ms (1.2%)","16,321 ms (1.2%)","400"
"deltablue.Variable.addConstraint (deltablue.AbstractConstraint)","2,329 ms (1.5%)","2,222 ms (1.5%)","3,763 ms (0.3%)","3,608 ms (0.3%)","33,600,480"
"som.Dictionary.at (som.Dictionary.CustomHash)","2,206 ms (1.4%)","2,140 ms (1.4%)","4,766 ms (0.3%)","4,615 ms (0.3%)","14,400,482"
"deltablue.BinaryConstraint.chooseMethod (int)","2,197 ms (1.4%)","2,128 ms (1.4%)","3,406 ms (0.2%)","3,282 ms (0.2%)","24,000,160"
"deltablue.Planner.incrementalAdd (deltablue.AbstractConstraint)","2,146 ms (1.4%)","2,104 ms (1.4%)","56,414 ms (4.1%)","54,642 ms (4.1%)","14,400,720"
"som.Vector.with (Object)","2,173 ms (1.4%)","2,008 ms (1.3%)","3,279 ms (0.2%)","3,047 ms (0.2%)","28,801,680"
"deltablue.Strength.weaker (deltablue.Strength)","2,105 ms (1.4%)","1,903 ms (1.3%)","2,105 ms (0.2%)","1,903 ms (0.1%)","57,600,480"
"deltablue.Planner.projectionTest (int)","1,846 ms (1.2%)","1,794 ms (1.2%)","67,090 ms (4.9%)","65,186 ms (4.9%)","80"
"deltablue.AbstractConstraint.addConstraint (deltablue.Planner)","1,729 ms (1.1%)","1,659 ms (1.1%)","55,524 ms (4%)","53,714 ms (4%)","14,400,480"
"deltablue.Strength.of (deltablue.Strength.Sym)","1,102 ms (0.7%)","1,062 ms (0.7%)","5,869 ms (0.4%)","5,678 ms (0.4%)","14,400,482"
"deltablue.AbstractConstraint.inputsKnown (int)","1,072 ms (0.7%)","1,020 ms (0.7%)","1,598 ms (0.1%)","1,515 ms (0.1%)","14,400,560"
"deltablue.Planner.constraintsConsuming (deltablue.Variable, som.ForEachInterface)","1,004 ms (0.6%)","966 ms (0.6%)","9,360 ms (0.7%)","9,090 ms (0.7%)","14,400,560"
"deltablue.Strength.stronger (deltablue.Strength)","1,003 ms (0.6%)","965 ms (0.6%)","1,003 ms (0.1%)","965 ms (0.1%)","28,800,880"
"som.Dictionary.getBucket (int)","993 ms (0.6%)","960 ms (0.6%)","1,535 ms (0.1%)","1,485 ms (0.1%)","14,400,482"
"deltablue.ScaleConstraint.addToGraph ()","926 ms (0.6%)","925 ms (0.6%)","3,078 ms (0.2%)","2,996 ms (0.2%)","4,800,000"
"deltablue.Variable.value (int)","790 ms (0.5%)","727 ms (0.5%)","1,138 ms (0.1%)","1,062 ms (0.1%)","9,600,160"
"deltablue.BinaryConstraint.inputsDo (som.ForEachInterface)","688 ms (0.4%)","687 ms (0.5%)","688 ms (0.1%)","687 ms (0.1%)","19,200,000"
"deltablue.Strength.absoluteWeakest ()","627 ms (0.4%)","593 ms (0.4%)","627 ms (0%)","593 ms (0%)","14,340,639"
"deltablue.BinaryConstraint.addToGraph ()","591 ms (0.4%)","556 ms (0.4%)","1,647 ms (0.1%)","1,561 ms (0.1%)","4,800,000"
"som.Dictionary.getBucketIdx (int)","542 ms (0.3%)","524 ms (0.3%)","542 ms (0%)","524 ms (0%)","14,400,506"
"som.IdentityDictionary$IdEntry.match (int, Object)","520 ms (0.3%)","497 ms (0.3%)","520 ms (0%)","497 ms (0%)","14,400,482"
"deltablue.BinaryConstraint.inputsHasOne (som.TestInterface)","523 ms (0.3%)","492 ms (0.3%)","523 ms (0%)","492 ms (0%)","14,400,160"
"som.Dictionary.hash (som.Dictionary.CustomHash)","504 ms (0.3%)","492 ms (0.3%)","504 ms (0%)","492 ms (0%)","14,400,506"
"deltablue.BinaryConstraint.markUnsatisfied ()","504 ms (0.3%)","477 ms (0.3%)","504 ms (0%)","477 ms (0%)","14,400,160"
"deltablue.Planner.newMark ()","488 ms (0.3%)","468 ms (0.3%)","488 ms (0%)","468 ms (0%)","14,401,120"
"deltablue.Planner.chainTest (int)","405 ms (0.3%)","406 ms (0.3%)","88,390 ms (6.4%)","85,635 ms (6.4%)","80"
"deltablue.UnaryConstraint.addToGraph ()","372 ms (0.2%)","371 ms (0.2%)","927 ms (0.1%)","904 ms (0.1%)","4,800,480"
"deltablue.UnaryConstraint.recalculate ()","377 ms (0.2%)","360 ms (0.2%)","550 ms (0%)","531 ms (0%)","4,800,720"
"deltablue.UnaryConstraint.chooseMethod (int)","359 ms (0.2%)","351 ms (0.2%)","522 ms (0%)","507 ms (0%)","4,800,960"
"som.Vector.at (int)","343 ms (0.2%)","329 ms (0.2%)","343 ms (0%)","329 ms (0%)","9,599,840"
