"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.hasSome (som.TestInterface)","23,393 ms (17.5%)","23,271 ms (18%)","23,393 ms (1.5%)","23,271 ms (1.6%)","53,778,280"
"som.Vector.forEach (som.ForEachInterface)","15,306 ms (11.4%)","14,803 ms (11.4%)","70,649 ms (4.7%)","68,728 ms (4.7%)","100,255,720"
"havlak.HavlakLoopFinder.findLoops ()","10,257 ms (7.7%)","9,833 ms (7.6%)","111,483 ms (7.4%)","107,127 ms (7.3%)","602,040"
"som.Dictionary.at (som.Dictionary.CustomHash)","8,346 ms (6.2%)","7,993 ms (6.2%)","18,711 ms (1.2%)","18,041 ms (1.2%)","51,170,880"
"havlak.HavlakLoopFinder.doDFS (havlak.BasicBlock, int)","7,966 ms (6%)","7,583 ms (5.9%)","27,821 ms (1.8%)","26,849 ms (1.8%)","17,234,520"
"som.Dictionary.atPut (som.Dictionary.CustomHash, Object)","5,553 ms (4.1%)","5,414 ms (4.2%)","11,564 ms (0.8%)","11,101 ms (0.8%)","34,469,029"
"som.Set.add (Object)","5,222 ms (3.9%)","5,066 ms (3.9%)","37,036 ms (2.5%)","36,351 ms (2.5%)","42,805,720"
"som.Vector.append (Object)","5,308 ms (4%)","4,965 ms (3.8%)","5,343 ms (0.4%)","4,995 ms (0.3%)","119,824,360"
"som.Vector.size ()","4,602 ms (3.4%)","4,384 ms (3.4%)","4,602 ms (0.3%)","4,384 ms (0.3%)","111,789,600"
"som.Dictionary.getBucket (int)","4,128 ms (3.1%)","4,062 ms (3.1%)","6,249 ms (0.4%)","6,109 ms (0.4%)","51,170,880"
"som.Vector.at (int)","4,154 ms (3.1%)","3,970 ms (3.1%)","4,154 ms (0.3%)","3,970 ms (0.3%)","102,135,000"
"som.Dictionary.getBucketIdx (int)","3,613 ms (2.7%)","3,490 ms (2.7%)","3,613 ms (0.2%)","3,490 ms (0.2%)","85,639,909"
"som.Dictionary.hash (som.Dictionary.CustomHash)","3,609 ms (2.7%)","3,407 ms (2.6%)","3,609 ms (0.2%)","3,407 ms (0.2%)","85,639,909"
"som.Set.hasSome (som.TestInterface)","3,485 ms (2.6%)","3,329 ms (2.6%)","26,257 ms (1.7%)","26,002 ms (1.8%)","42,805,720"
"som.IdentityDictionary$IdEntry.match (int, Object)","2,809 ms (2.1%)","2,661 ms (2.1%)","2,809 ms (0.2%)","2,661 ms (0.2%)","68,423,760"
"java.lang.Integer.valueOf (int)","2,481 ms (1.9%)","2,344 ms (1.8%)","2,481 ms (0.2%)","2,344 ms (0.2%)","60,664,682"
"havlak.HavlakLoopFinder.stepD (int, som.Vector)","2,034 ms (1.5%)","2,022 ms (1.6%)","4,658 ms (0.3%)","4,464 ms (0.3%)","17,234,520"
